country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000,,,,,,,,,317000,,,,,,47500,,,159000,,,
Libya,,74300,49700,34700,27500,27000,21500,20100,34800,,17800,19200,,12400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,100,23,23,16,30,15,24,29,,44,1,6,,3,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8350,65,242,639,480,197,254,293,312,276,163,148,48,99,136,148,72,87,108,247,201,,
Luxembourg,,,2780,3150,2450,2730,2810,2960,3030,,,5830,4150,4340,4580,,4490,5290,3750,,,,,,,,,,,601,729,816,756,1410,1200,589,406,376,653,,1550,1710,1270,1310,1020,384,87,208,369,,
Madagascar,,,369000,,,,,,,,,,,,,,,,,547000,582000,,,,,839000,820000,,,737000,723000,721000,736000,529000,,,,,,,,,,,,,,,66800,80500,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36700,,,,,32900,33800,47400,114000,51700,43600,,,,,,,,,,,
Malaysia,250000,262000,245000,,,,,,,,,,,,,,,,,,,,,,77500,,,,127000,91800,48600,67600,106000,91200,19800,13000,150000,161000,162000,135000,122000,94100,46000,10400,3280,14500,5300,10400,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640,,1370,1220,313,425,,155,357,110,166,177,,,,,,,195,1190,1930,1670,1010,
Mali,,722000,728000,740000,735000,,,780000,,,,,,,,,,,,,,,,,,,,,,957000,,,897000,926000,955000,883000,882000,864000,,763000,767000,771000,861000,1020000,1030000,1160000,1160000,1030000,1340000,,
Malta,,6940,7220,7550,6920,5610,3680,2020,967,694,1410,1990,2070,2640,2310,1220,1380,1790,1870,1680,1460,1410,1430,1320,1720,1390,862,554,,,,,,,,,,,,,,168,25,77,175,166,295,57,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,531,,,,2380,2250,,,2350,
Mauritania,,,,,,,,,,,,,,,,201000,,,,,,,,,200000,181000,172000,,166000,170000,171000,158000,161000,149000,119000,128000,118000,116000,137000,144000,145000,146000,156000,145000,136000,,165000,138000,129000,156000,
Mauritius,,,34900,33400,31400,28700,27700,22600,25700,29600,28800,23900,15500,11100,6790,118,2020,441,679,832,3470,9000,,8640,7390,6230,3550,2510,143,360,292,598,824,1150,2150,775,715,734,454,1090,1210,1340,4730,2310,1230,1060,1430,1010,1160,1210,
Mexico,,1720000,,,,,,1250000,,,,,,,,32700,0,0,116000,434000,210000,258000,227000,285000,393000,462000,529000,530000,442000,13700,2420,15000,26500,31600,36500,22000,11700,1970,9200,2310,18800,35500,44700,54700,67600,77600,88100,97700,93600,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,2060,1440,,,1470,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2350,3340,8890,13500,14500,13100,13100,12800,11900,11900,11700,11600,12600,12700,14000,14000,16000,
Mongolia,,,,,,,,,,,4810,,,9280,,,,8590,,,,,,,,34400,28900,37700,28900,24200,18300,14300,16200,31800,15500,17200,5090,1950,604,687,1260,1340,2050,8850,9520,6400,1760,1670,2150,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,1240,1270,,,589,1030,,,1680,2140,1100,784,2,
Morocco,,1530000,1540000,1560000,,1530000,1470000,1390000,1310000,1260000,1190000,1130000,1130000,1080000,1020000,1080000,1150000,1230000,1310000,1400000,1410000,1720000,1740000,1680000,1590000,1480000,1370000,1290000,1310000,886000,766000,671000,574000,511000,511000,472000,412000,349000,329000,364000,242000,205000,228000,179000,204000,,162000,90000,7800,16100,
Mozambique,,,,866000,,,,,,767000,,834000,866000,669000,,658000,687000,924000,1010000,1030000,1020000,1060000,1120000,1170000,1180000,1150000,,,1600000,1520000,1440000,1330000,1530000,,1130000,967000,843000,658000,539000,512000,470000,598000,605000,561000,535000,461000,514000,577000,354000,143000,
Myanmar,,1480000,,1270000,1690000,,,,1600000,,,,,,,,,,,,,,,,,,,,,,509000,451000,555000,468000,545000,563000,579000,566000,525000,575000,574000,,,,197000,,,112000,91900,,
Namibia,,,,,,,,,,,,,,,,,,,,60500,61300,,55800,,52500,50900,53700,50500,44000,42200,36300,30100,22800,22000,30100,29600,39500,29800,30700,28200,25000,,12700,4100,,,,5450,6000,,
Nauru,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,86,,,,,234,,31,,40,,,,
Nepal,,,,,,,,,,,,,,849000,849000,,,,808000,,,,,,,,,,,1060000,883000,,,689000,677000,,,,,,,22000,2900,,30900,49900,49300,101000,,103000,
